region,country,item_type,sales_channel,order_priority,order_date,order_id,ship_date,units_sold,unit_price,unit_cost,total_revenue,total_cost,total_profit
Sub-Saharan Africa,Lesotho,Fruits,Online,L,2013-08-18,918419539,2013-09-18,9606,9.33,6.92,89623.98,66473.52,23150.46
Middle East and North Africa,Saudi Arabia,Cereal,Online,M,2013-03-25,844530045,2013-03-28,4063,205.7,117.11,835759.1,475817.93,359941.17
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,M,2011-11-26,441888415,2012-01-07,3457,651.21,524.96,2251232.97,1814786.72,436446.25
Sub-Saharan Africa,Sao Tome and Principe,Fruits,Offline,H,2013-09-17,508980977,2013-10-24,7637,9.33,6.92,71253.21,52848.04,18405.17
Sub-Saharan Africa,Cote d'Ivoire,Clothes,Online,C,2012-06-08,114606559,2012-06-27,3482,109.28,35.84,380512.96,124794.88,255718.08
Australia and Oceania,Fiji,Clothes,Offline,C,2010-06-30,647876489,2010-08-01,9905,109.28,35.84,1082418.4,354995.2,727423.2
Europe,Austria,Cosmetics,Offline,H,2015-02-23,868214595,2015-03-02,2847,437.2,263.33,1244708.4,749700.51,495007.89
Europe,United Kingdom,Household,Online,L,2012-01-05,955357205,2012-02-14,282,668.27,502.54,188452.14,141716.28,46735.86
Sub-Saharan Africa,Djibouti,Cosmetics,Offline,H,2014-04-07,259353148,2014-04-19,7215,437.2,263.33,3154398.0,1899925.95,1254472.05
Australia and Oceania,Australia,Cereal,Offline,H,2013-06-09,450563752,2013-07-02,682,205.7,117.11,140287.4,79869.02,60418.38
Europe,San Marino,Baby Food,Online,L,2013-06-26,569662845,2013-07-01,4750,255.28,159.42,1212580.0,757245.0,455335.0
Sub-Saharan Africa,Cameroon,Office Supplies,Online,M,2011-11-07,177636754,2011-11-15,5518,651.21,524.96,3593376.78,2896729.28,696647.5
Middle East and North Africa,Libya,Clothes,Offline,H,2010-10-30,705784308,2010-11-17,6116,109.28,35.84,668356.48,219197.44,449159.04
Central America and the Caribbean,Haiti,Cosmetics,Offline,H,2013-10-13,505716836,2013-11-16,1705,437.2,263.33,745426.0,448977.65,296448.35
Sub-Saharan Africa,Rwanda,Cosmetics,Offline,H,2013-10-11,699358165,2013-11-25,4477,437.2,263.33,1957344.4,1178928.41,778415.99
Sub-Saharan Africa,Gabon,Personal Care,Offline,L,2012-07-08,228944623,2012-07-09,8656,81.73,56.67,707454.88,490535.52,216919.36
Central America and the Caribbean,Belize,Clothes,Offline,M,2016-07-25,807025039,2016-09-07,5498,109.28,35.84,600821.44,197048.32,403773.12
Europe,Lithuania,Office Supplies,Offline,H,2010-10-24,166460740,2010-11-17,8287,651.21,524.96,5396577.27,4350343.52,1046233.75
Sub-Saharan Africa,Madagascar,Clothes,Offline,L,2015-04-25,610425555,2015-05-28,7342,109.28,35.84,802333.76,263137.28,539196.48
Asia,Turkmenistan,Office Supplies,Online,M,2013-04-23,462405812,2013-05-20,5010,651.21,524.96,3262562.1,2630049.6,632512.5
Middle East and North Africa,Libya,Fruits,Online,L,2015-08-14,816200339,2015-09-30,673,9.33,6.92,6279.09,4657.16,1621.93
Sub-Saharan Africa,Democratic Republic of the Congo,Beverages,Online,C,2011-05-26,585920464,2011-07-15,5741,47.45,31.79,272410.45,182506.39,89904.06
Sub-Saharan Africa,Djibouti,Cereal,Online,H,2017-05-20,555990016,2017-06-17,8656,205.7,117.11,1780539.2,1013704.16,766835.04
Middle East and North Africa,Pakistan,Cosmetics,Offline,L,2013-07-05,231145322,2013-08-16,9892,437.2,263.33,4324782.4,2604860.36,1719922.04
North America,Mexico,Household,Offline,C,2014-11-06,986435210,2014-12-12,6954,668.27,502.54,4647149.58,3494663.16,1152486.42
Australia and Oceania,Federated States of Micronesia,Beverages,Online,C,2014-10-28,217221009,2014-11-15,9379,47.45,31.79,445033.55,298158.41,146875.14
Asia,Laos,Vegetables,Offline,C,2011-09-15,789176547,2011-10-23,3732,154.06,90.93,574951.92,339350.76,235601.16
Europe,Monaco,Baby Food,Offline,H,2012-05-29,688288152,2012-06-02,8614,255.28,159.42,2198981.92,1373243.88,825738.04
Australia and Oceania,Samoa,Cosmetics,Online,H,2013-07-20,670854651,2013-08-07,9654,437.2,263.33,4220728.8,2542187.82,1678540.98
Europe,Spain,Household,Offline,L,2012-10-21,213487374,2012-11-30,4513,668.27,502.54,3015902.51,2267963.02,747939.49
Middle East and North Africa,Lebanon,Clothes,Online,L,2012-09-18,663110148,2012-10-08,7884,109.28,35.84,861563.52,282562.56,579000.96
Middle East and North Africa,Iran,Cosmetics,Online,H,2016-11-15,286959302,2016-12-08,6489,437.2,263.33,2836990.8,1708748.37,1128242.43
Sub-Saharan Africa,Zambia,Snacks,Online,L,2011-01-04,122583663,2011-01-05,4085,152.58,97.44,623289.3,398042.4,225246.9
Sub-Saharan Africa,Kenya,Vegetables,Online,L,2012-03-18,827844560,2012-04-07,6457,154.06,90.93,994765.42,587135.01,407630.41
North America,Mexico,Personal Care,Offline,L,2012-02-17,430915820,2012-03-20,6422,81.73,56.67,524870.06,363934.74,160935.32
Sub-Saharan Africa,Sao Tome and Principe,Beverages,Offline,C,2011-01-16,180283772,2011-01-21,8829,47.45,31.79,418936.05,280673.91,138262.14
Sub-Saharan Africa,The Gambia,Baby Food,Offline,M,2014-02-03,494747245,2014-03-20,5559,255.28,159.42,1419101.52,886215.78,532885.74
Middle East and North Africa,Kuwait,Fruits,Online,M,2012-04-30,513417565,2012-05-18,522,9.33,6.92,4870.26,3612.24,1258.02
Europe,Slovenia,Beverages,Offline,C,2016-10-23,345718562,2016-11-25,4660,47.45,31.79,221117.0,148141.4,72975.6
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,H,2016-12-06,621386563,2016-12-14,948,651.21,524.96,617347.08,497662.08,119685.0
Australia and Oceania,Australia,Beverages,Offline,H,2014-07-07,240470397,2014-07-11,9389,47.45,31.79,445508.05,298476.31,147031.74
Middle East and North Africa,Azerbaijan,Office Supplies,Online,M,2012-06-13,423331391,2012-07-24,2021,651.21,524.96,1316095.41,1060944.16,255151.25
Europe,Romania,Cosmetics,Online,H,2010-11-26,660643374,2010-12-25,7910,437.2,263.33,3458252.0,2082940.3,1375311.7
Central America and the Caribbean,Nicaragua,Beverages,Offline,C,2011-02-08,963392674,2011-03-21,8156,47.45,31.79,387002.2,259279.24,127722.96
Sub-Saharan Africa,Mali,Clothes,Online,M,2011-07-26,512878119,2011-09-03,888,109.28,35.84,97040.64,31825.92,65214.72
Asia,Malaysia,Fruits,Offline,L,2011-11-11,810711038,2011-12-28,6267,9.33,6.92,58471.11,43367.64,15103.47
Sub-Saharan Africa,Sierra Leone,Vegetables,Offline,C,2016-06-01,728815257,2016-06-29,1485,154.06,90.93,228779.1,135031.05,93748.05
North America,Mexico,Personal Care,Offline,M,2015-07-30,559427106,2015-08-08,5767,81.73,56.67,471336.91,326815.89,144521.02
Sub-Saharan Africa,Mozambique,Household,Offline,L,2012-02-10,665095412,2012-02-15,5367,668.27,502.54,3586605.09,2697132.18,889472.91
Sub-Saharan Africa,Mauritania,Office Supplies,Offline,C,2012-01-16,SYN000101,2012-01-20,1291,683.08,583.78,881856.28,632124.45,167425.25
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,M,2011-11-19,SYN000102,2012-01-04,3439,664.58,528.74,2285490.62,1883842.78,439101.48
Sub-Saharan Africa,Rwanda,Cosmetics,Offline,H,2013-10-11,SYN000103,2013-11-24,4552,469.86,260.63,2138802.72,1128582.52,679051.59
Asia,Brunei,Office Supplies,Online,L,2012-04-01,SYN000104,2012-05-06,6998,627.04,584.54,4388025.92,3529488.45,838959.0
Middle East and North Africa,Pakistan,Cosmetics,Offline,L,2013-07-12,SYN000105,2013-08-23,10619,440.59,268.31,4678625.21,2346875.45,1690002.95
Sub-Saharan Africa,Mali,Fruits,Online,L,2010-05-08,SYN000106,2010-05-05,6180,9.89,6.79,61120.200000000004,38176.02,13034.8
Middle East and North Africa,Syria,Fruits,Online,L,2011-11-17,SYN000107,2011-12-08,4153,9.09,6.77,37750.77,27203.22,8383.55
Asia,Bangladesh,Clothes,Online,L,2017-01-15,SYN000108,2017-03-06,7893,111.39,34.92,879201.27,295728.62,619831.05
Australia and Oceania,Australia,Office Supplies,Online,C,2015-11-03,SYN000109,2015-11-26,2968,630.56,515.44,1871502.0799999998,1507387.64,354146.0
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,H,2016-12-11,SYN000110,2016-12-16,956,638.13,482.17,610052.28,475085.68,119996.0
Asia,Turkmenistan,Household,Offline,L,2010-12-27,SYN000111,2011-01-14,3855,706.34,471.51,2722940.7,1858824.54,607109.15
Europe,Romania,Cosmetics,Online,H,2010-11-20,SYN000112,2011-01-01,7787,438.43,247.99,3414054.41,2131437.65,1269671.0
Sub-Saharan Africa,The Gambia,Baby Food,Offline,M,2014-02-01,SYN000113,2014-03-20,6086,270.33,157.99,1645228.38,932939.37,522143.38
Middle East and North Africa,Libya,Fruits,Online,L,2015-08-08,SYN000114,2015-09-28,680,9.79,7.04,6657.2,4659.61,1766.76
Sub-Saharan Africa,Cote d'Ivoire,Clothes,Online,C,2012-06-06,SYN000115,2012-06-29,3552,119.57,33.42,424712.63999999996,130843.67,240718.64
Middle East and North Africa,Lebanon,Clothes,Online,L,2012-09-25,SYN000116,2012-10-04,7721,105.2,39.29,812249.2000000001,308947.67,605231.0
Asia,Turkmenistan,Office Supplies,Online,M,2013-04-23,SYN000117,2013-05-20,5488,642.48,546.02,3525930.24,2609665.39,651933.14
Sub-Saharan Africa,Gabon,Personal Care,Offline,L,2012-07-05,SYN000118,2012-07-02,8819,77.24,57.52,681179.5599999999,473500.01,215296.43
Asia,Turkmenistan,Office Supplies,Online,M,2013-04-30,SYN000119,2013-05-13,5473,673.1,535.66,3683876.3000000003,2700962.21,611186.31
Sub-Saharan Africa,Cape Verde,Clothes,Offline,H,2014-08-06,SYN000120,2014-08-25,4035,112.98,36.87,455874.3,152338.92,289368.73
Sub-Saharan Africa,Lesotho,Fruits,Online,L,2013-08-22,SYN000121,2013-09-24,9817,9.41,7.14,92377.97,69612.66,22093.85
North America,Mexico,Personal Care,Offline,L,2012-02-20,SYN000122,2012-03-13,5999,79.84,56.48,478960.16000000003,350382.63,154285.16
Europe,Monaco,Baby Food,Offline,H,2012-05-29,SYN000123,2012-06-08,8328,269.66,150.81,2245728.48,1343182.2,805175.82
Sub-Saharan Africa,The Gambia,Cereal,Offline,H,2012-06-03,SYN000124,2012-06-12,2217,206.6,109.93,458032.2,235523.11,173059.32
Middle East and North Africa,Azerbaijan,Cosmetics,Online,M,2010-02-10,SYN000125,2010-03-03,7349,457.33,267.53,3360918.17,1842921.34,1192733.31
Sub-Saharan Africa,Republic of the Congo,Personal Care,Offline,M,2015-07-10,SYN000126,2015-09-01,5826,78.91,55.38,459729.66,337898.44,141656.72
Sub-Saharan Africa,Democratic Republic of the Congo,Beverages,Online,C,2011-05-22,SYN000127,2011-07-11,5103,48.93,29.24,249689.79,182982.41,86579.57
Asia,Turkmenistan,Household,Offline,L,2011-01-04,SYN000128,2011-01-21,3582,677.19,501.55,2425694.58,1975086.47,629301.48
Europe,Austria,Cosmetics,Offline,H,2015-02-17,SYN000129,2015-02-24,2964,484.49,280.93,1436028.36,740727.38,522224.9
Sub-Saharan Africa,Niger,Personal Care,Online,H,2017-03-18,SYN000130,2017-03-29,3111,75.12,56.6,233698.32,173251.45,75185.11
Sub-Saharan Africa,Cameroon,Office Supplies,Online,M,2011-11-01,SYN000131,2011-11-12,5606,676.81,512.72,3794196.86,2837339.13,696054.64
Asia,Turkmenistan,Office Supplies,Online,M,2013-04-20,SYN000132,2013-05-24,5576,649.83,499.87,3623452.08,2569085.58,647739.65
Europe,Bulgaria,Clothes,Online,M,2012-04-24,SYN000133,2012-06-01,1678,110.14,36.26,184814.92,59247.03,114116.75
Sub-Saharan Africa,Madagascar,Clothes,Offline,L,2015-04-21,SYN000134,2015-06-02,7143,111.55,33.77,796801.65,282800.01,483390.05
Asia,Laos,Vegetables,Offline,C,2011-09-16,SYN000135,2011-10-25,3858,149.15,89.12,575420.7000000001,334297.98,231960.97
Middle East and North Africa,Syria,Fruits,Online,L,2011-11-22,SYN000136,2011-11-27,4002,9.83,6.64,39339.66,26867.49,8856.9
Australia and Oceania,Federated States of Micronesia,Beverages,Online,C,2014-11-02,SYN000137,2014-11-14,9229,49.09,32.89,453051.61000000004,277535.33,135250.43
Sub-Saharan Africa,Niger,Personal Care,Online,H,2017-03-13,SYN000138,2017-03-24,2836,79.66,54.98,225915.75999999998,154318.41,76269.07
Sub-Saharan Africa,The Gambia,Meat,Online,M,2017-01-09,SYN000139,2017-01-19,4788,415.33,366.47,1988600.04,1497472.76,299338.57
Australia and Oceania,New Zealand,Fruits,Online,H,2014-09-01,SYN000140,2014-10-06,2116,9.15,7.09,19361.4,13597.42,5814.73
Sub-Saharan Africa,Kenya,Vegetables,Online,L,2012-03-15,SYN000141,2012-04-07,6786,148.73,97.92,1009281.7799999999,605008.69,386326.56
Sub-Saharan Africa,Republic of the Congo,Personal Care,Offline,M,2015-07-08,SYN000142,2015-08-28,6279,87.05,54.89,546586.95,383612.76,144052.03
Asia,Malaysia,Fruits,Offline,L,2011-11-06,SYN000143,2012-01-04,6623,9.38,7.12,62123.740000000005,44170.06,14116.82
Australia and Oceania,East Timor,Meat,Online,L,2012-08-07,SYN000144,2012-09-04,5873,407.54,376.84,2393482.42,2010849.62,315182.28
Asia,Kyrgyzstan,Vegetables,Online,H,2011-07-01,SYN000145,2011-07-16,123,153.03,95.83,18822.69,10863.39,7677.48
Sub-Saharan Africa,Madagascar,Clothes,Offline,L,2015-04-28,SYN000146,2015-05-27,7327,107.71,35.73,789191.1699999999,253669.54,517278.33
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,H,2016-12-07,SYN000147,2016-12-11,906,613.53,516.76,555858.1799999999,553816.37,115468.0
Sub-Saharan Africa,Gabon,Personal Care,Offline,L,2012-07-13,SYN000148,2012-07-05,8979,76.87,58.86,690215.7300000001,425314.6,223495.48
Sub-Saharan Africa,Mali,Fruits,Online,L,2010-05-14,SYN000149,2010-05-13,5953,9.01,7.49,53636.53,39374.93,13548.47
North America,Mexico,Household,Offline,C,2014-11-12,SYN000150,2014-12-11,6801,658.9,493.38,4481178.899999999,3595750.05,1172635.02
Middle East and North Africa,Pakistan,Cosmetics,Offline,L,2013-07-02,SYN000151,2013-08-16,9181,467.03,254.25,4287802.43,2536979.09,1561425.24
Middle East and North Africa,Libya,Clothes,Offline,H,2010-11-02,SYN000152,2010-11-20,5969,112.67,37.09,672527.23,229410.38,456793.96
Europe,Slovenia,Beverages,Offline,C,2016-10-30,SYN000153,2016-11-30,4697,47.0,31.16,220759.0,139786.14,73998.87
Sub-Saharan Africa,Comoros,Cereal,Offline,H,2016-03-23,SYN000154,2016-04-27,1002,203.13,117.4,203536.26,116283.6,78530.87
Europe,Monaco,Baby Food,Offline,H,2012-05-23,SYN000155,2012-06-02,8993,233.61,162.51,2100854.73,1303036.32,827332.98
North America,Mexico,Household,Offline,C,2014-11-09,SYN000156,2014-12-10,6611,619.09,543.95,4092803.99,3593787.58,1139654.92
Europe,Moldova,Personal Care,Online,L,2016-05-03,SYN000157,2016-05-03,4660,80.54,54.51,375316.4,303709.79,136370.95
Europe,Romania,Cosmetics,Online,H,2010-11-23,SYN000158,2010-12-19,7673,412.81,273.42,3167491.13,1898752.3,1399756.61
Sub-Saharan Africa,Sierra Leone,Office Supplies,Offline,H,2016-12-02,SYN000159,2016-12-12,951,645.18,503.76,613566.1799999999,517575.98,117835.0
Europe,Portugal,Baby Food,Online,H,2015-07-29,SYN000160,2015-09-02,1383,264.02,162.38,365139.66,218365.17,132521.84
Sub-Saharan Africa,Burkina Faso,Vegetables,Online,H,2012-07-11,SYN000161,2012-08-01,8317,137.93,91.49,1147163.81,738348.55,534274.55
Asia,Turkmenistan,Household,Offline,L,2011-01-05,SYN000162,2011-01-24,3721,677.29,490.81,2520196.09,2008354.13,643533.07
Europe,Norway,Beverages,Offline,C,2014-07-11,SYN000163,2014-08-05,5205,49.4,31.8,257127.0,163529.36,78656.14
Sub-Saharan Africa,Djibouti,Cereal,Online,H,2017-05-23,SYN000164,2017-06-24,8619,207.7,122.24,1790166.2999999998,1036888.37,729850.13
Europe,Lithuania,Office Supplies,Offline,H,2010-10-26,SYN000165,2010-11-20,8241,616.87,546.49,5083625.67,4411051.64,1063962.4
Sub-Saharan Africa,Senegal,Cereal,Online,H,2014-04-11,SYN000166,2014-05-24,6438,183.06,118.28,1178540.28,752127.25,555488.42
Middle East and North Africa,Lebanon,Clothes,Online,L,2012-09-14,SYN000167,2012-10-10,7955,106.53,40.16,847446.15,271357.3,512745.3
Sub-Saharan Africa,Djibouti,Cereal,Online,H,2017-05-14,SYN000168,2017-06-16,7783,200.15,115.5,1557767.45,1101839.28,804961.86
Sub-Saharan Africa,Cape Verde,Clothes,Offline,H,2014-07-31,SYN000169,2014-08-25,3984,115.45,36.73,459952.8,157070.06,292189.39
Asia,Mongolia,Personal Care,Offline,C,2014-02-12,SYN000170,2014-02-25,5112,70.88,60.96,362338.56,277104.98,124173.19
Europe,Russia,Office Supplies,Offline,L,2014-04-28,SYN000171,2014-05-03,1748,687.04,559.03,1200945.92,930451.91,217203.24
Australia and Oceania,Australia,Beverages,Offline,H,2014-07-01,SYN000172,2014-07-11,8911,47.27,32.4,421222.97000000003,314837.99,145309.88
Australia and Oceania,Kiribati,Fruits,Online,M,2014-10-17,SYN000173,2014-11-15,5241,8.57,6.38,44915.37,39784.85,13591.51
Sub-Saharan Africa,Burkina Faso,Vegetables,Online,H,2012-07-24,SYN000174,2012-07-30,7544,138.9,87.93,1047861.6000000001,753220.54,536951.3
Europe,Russia,Office Supplies,Offline,L,2014-05-03,SYN000175,2014-05-07,1934,643.96,500.99,1245418.6400000001,892393.15,227317.72
Australia and Oceania,Samoa,Cosmetics,Online,H,2013-07-14,SYN000176,2013-08-13,10106,468.07,232.13,4730315.42,2257513.11,1712237.61
Asia,Myanmar,Household,Offline,H,2015-01-10,SYN000177,2015-02-25,8277,625.51,487.83,5177346.27,4108176.0,1353401.74
Sub-Saharan Africa,Senegal,Cereal,Online,H,2014-04-21,SYN000178,2014-05-27,6663,193.27,115.69,1287758.01,757256.87,571112.22
Asia,Myanmar,Clothes,Online,H,2015-11-13,SYN000179,2015-11-13,5171,115.74,34.71,598491.5399999999,213554.76,456021.41
Sub-Saharan Africa,Burkina Faso,Vegetables,Online,H,2012-07-18,SYN000180,2012-07-27,7808,164.06,80.18,1280980.48,685366.99,490788.29
Australia and Oceania,Solomon Islands,Baby Food,Online,C,2015-02-06,SYN000181,2015-02-15,2967,257.77,145.22,764803.59,478774.62,290144.49
Europe,Slovenia,Beverages,Offline,C,2016-10-22,SYN000182,2016-11-21,4662,48.7,32.51,227039.40000000002,148415.5,75777.51
Asia,Myanmar,Household,Offline,H,2015-01-14,SYN000183,2015-03-08,8100,641.35,474.44,5194935.0,4380840.0,1233840.1
Europe,Romania,Cosmetics,Online,H,2010-11-26,SYN000184,2010-12-31,7459,454.36,256.03,3389071.24,2060345.65,1405939.43
Sub-Saharan Africa,Democratic Republic of the Congo,Beverages,Online,C,2011-05-21,SYN000185,2011-07-19,4867,48.74,32.49,237217.58000000002,172614.21,91485.38
Sub-Saharan Africa,Sao Tome and Principe,Beverages,Offline,C,2011-01-12,SYN000186,2011-01-26,8622,46.94,30.31,404716.68,258915.66,141147.11
Sub-Saharan Africa,Burkina Faso,Vegetables,Online,H,2012-07-22,SYN000187,2012-07-30,8178,143.23,88.25,1171334.94,673874.16,513154.18
Europe,Norway,Baby Food,Online,L,2014-05-20,SYN000188,2014-06-23,6801,238.65,164.24,1623058.6500000001,1179846.0,728610.0
Europe,Slovakia,Vegetables,Online,H,2012-10-07,SYN000189,2012-11-07,174,163.97,84.08,28530.78,15252.04,10674.18
Europe,Bulgaria,Clothes,Online,M,2012-04-25,SYN000190,2012-06-10,1642,102.58,36.17,168436.36,59792.03,122856.61
Australia and Oceania,Fiji,Clothes,Offline,C,2010-07-03,SYN000191,2010-07-27,9847,111.83,35.18,1101190.01,362153.05,694034.3
Central America and the Caribbean,Grenada,Cereal,Online,C,2012-08-22,SYN000192,2012-09-18,2919,219.69,116.58,641275.11,345360.23,236033.08
Middle East and North Africa,Saudi Arabia,Cereal,Online,M,2013-04-01,SYN000193,2013-03-30,4001,216.28,116.69,865336.28,512747.19,365104.61
